Москва, Сходненская, 56
Москва, Новоясеневский проспект, 1
Москва, Профсоюзная, 61а
Москва, Маршала Бирюзова, 32
Москва, Профсоюзная, 129а
Москва, Рублёвское шоссе, 62
Москва, Люблинская, 169 к2
Москва, Дмитровское шоссе, 89
Москва, Дубравная, 34
Москва, Вавилова, 3
Москва, Вернадского проспект, 6
Москва, Щёлковское шоссе, 100
Москва, Тушинская, 17
Москва, Пришвина, 26
Москва, Ореховый бульвар, 15
Москва, Кронштадтский бульвар, 7
Москва, Ленинская Слобода, 26
Москва, Вернадского проспект, 14а
Москва, Большая Декабрьская, 3 ст1
Москва, Смоленская площадь, 3
Москва, Смольная, 24а
Москва, Холодильный переулок, 3
Москва, Пресненская набережная, 12
Москва, МКАД 71 км, 16 ст1
Москва, Лобненская, 4а
Москва, Ленинградский проспект, 31а ст1
Москва, Волоколамское шоссе, 73
Москва, Дмитровское шоссе, 100 ст2
Москва, Краснопресненская набережная, 12
Москва, Киевское шоссе 22 км, вл 4 блок А,Б,В,Г,Д,Е
Москва, Андропова проспект, 22
Москва, Академика Королёва, 13
Москва, Ярославское шоссе, 19
Москва, Озёрная, 42
Москва, Кулакова, 20
Москва, Варшавское шоссе, 125
Москва, Новинский бульвар, 31
Москва, Профсоюзная, 102 к1
Москва, Покрышкина, 4
Москва, Кировоградская, 14
Москва, Измайловское шоссе, 71а
Москва, Балаклавский проспект, 5а
Москва, Боровское шоссе, 6
Москва, Пресненская набережная, 10 блок С
Москва, Миклухо-Маклая, 32а
Москва, Днепропетровская, 2
Москва, Иркутская, 11 к1,2,5
Москва, Кантемировская, 58
Москва, Дербеневская набережная, 11 ст1
Москва, Кусковская, 20а кА,В,Г
Москва, Тверская, 7
Москва, Полковая, 3 ст1,2,4,6,9,14
Москва, Мира проспект, 105
Москва, Рощинская 2-я, 4
Москва, Новый Арбат, 19
Москва, Дмитровское шоссе, 161Б
Москва, Марксистская, 3 ст1
Москва, Большая Семёновская, 10
Москва, Бирюлёвская, 51
Москва, Складочная, 1
Москва, Новокуркинское шоссе, 1
Москва, Сигнальный проезд, 17
Москва, Менжинского, 32
Москва, Парковая 9-я, 62
Москва, Енисейская, 19 к1
Москва, Кантемировская, 47
Москва, Зелёный проспект, 62Д
Москва, Литовский бульвар, 22
Москва, Алтуфьевское шоссе, 86 к1
Москва, Щёлковское шоссе, 100 к1,2,3,4,5,6,7,8,10,20,54,102,108
Москва, Хлебозаводский проезд, 7 к9
Москва, Зелёный проспект, 20
Москва, Лесная, 43
Москва, Дмитровское шоссе, 100 к2, к2 ст2,3
Москва, Земляной Вал, 9
Москва, Люблинская, 151
Москва, Бутлерова, 17Б
Москва, Строгинский бульвар, 1
Москва, Таганская, 1
Москва, Пятницкое шоссе, 43
Москва, Нагатинская, 16
Москва, Профсоюзная, 3
Москва, Профсоюзная, 118
Москва, Марьиной Рощи 3-й проезд, 40
Москва, Ивантеевская, 25а
Москва, Измайловское шоссе, 73ж
Москва, Волоколамское шоссе, 2
Москва, Боровское шоссе, 51 вл 1 ст1
Москва, Вернадского проспект, 41 к3
Москва, Чермянский проезд, 7
Москва, Полярная, 39
Москва, Рабочая, 93 ст2
Москва, Остаповский проезд, 5
Москва, Подольское шоссе, 8
Москва, Научный проезд, 8 ст1
Москва, Русаковская, 13
Москва, Рязанский проспект, 24 к2
Москва, Пресненская набережная, 10
Москва, Нижняя Красносельская, 40/12 к1,2,3,4,6,7,8,10,11,12,16,17,20,21
Москва, Гамсоновский переулок, 2 ст1,2,3,4,7,9,10,12,13
Москва, Лубянский проезд, 15 ст2
Москва, Киевская, 7 к1-3
Москва, Беговая, 3 ст1
Москва, Большая Новодмитровская, 14, 14 ст1,2,3,7, к4
Москва, Стратонавтов проезд, 9 к2
Москва, Хорошёвское шоссе, 35 к1
Москва, Шаболовка, 10 к2
Москва, Шарикоподшипниковская, 11
Москва, Широкая, 13а
Москва, Скотопрогонная, 29
Москва, Образцова, 7
Москва, Нижегородская, 50
Москва, Семёновский переулок, 15
Москва, Матвеевская, 20 к3
Москва, Маршала Катукова, 25
Москва, Митинская, 39
Москва, Новая Басманная, 10
Москва, Народного Ополчения, 47 к1
Москва, Пыжевский переулок, 5
Москва, Образцова, 14
Москва, Осенняя, 23
Москва, Дмитровское шоссе, 100
Москва, Домодедовская, 28
Москва, Ленинградский проспект, 80
Москва, Зеленодольская, 44
Москва, Коровий Вал, 1 к2а
Москва, Лианозовский проезд, вл1
Москва, Гримау, 10
Москва, Большая Черкизовская, 125
Москва, Бутлерова, 12
Москва, Варшавское шоссе, 39, 39Б
Москва, Бескудниковский бульвар, 12
Москва, Василия Петушкова, 8
Москва, Цветной бульвар, 2
Москва, Угрешская, 2 (все строения)
Москва, Тимирязевская, 1
Москва, Суздальская, 18г
Москва, Хачатуряна, вл15Б
Москва, Снежная, 26
Москва, Ряжская, 13 к1
Москва, Народного Ополчения, 46 к1
Москва, Производственная, 6
Москва, МКАД 47 км, ст21
Москва, Огородный проезд, 20 ст 1, 4, 5, 9, 21, 27, 38
Москва, Россошанский проезд, 3
Москва, Куликовская, 6
Москва, Костромская, 17
Москва, Люсиновская, 36 ст1
Москва, Кировоградская, 24а
Москва, Ленинградский проспект, 47 ст2,3
Москва, Волоколамское шоссе, 142
Москва, Красного Маяка, 15а ст1
Москва, Кантемировская, 6 к1
Москва, Высоковольтный проезд, 1 ст49
Москва, Боровское шоссе, 35
Москва, Брестская 2-я, 8
Москва, Авиамоторная, 12
Москва, Барклая, 6 ст3
Москва, Бутырский Вал, 68/70 ст1,4,5,6
Москва, Варшавское шоссе, 125ж к5,6,7
Москва, Большая Семёновская, 40 ст 1-5, 13, 18, 25-28, 30, 31
Москва, Авиаконструктора Микояна, 12
Москва, Академика Варги, 8 к1
Москва, Ярцевская, 34 ст1
Москва, Хохловский переулок, 7-9 ст2
Москва, Строгинский бульвар, 1 к2
Москва, Скаковая, 36
Москва, Сретенка, 27 ст1
Москва, Электродная, 11 ст 1-19, 9а, 9 ст 1-3,5,6
Москва, Электродная, 13
Москва, Часовая, 28
Москва, Энтузиастов шоссе, 5
Москва, Ярцевская, 22
Москва, Нагатинский 1-й проезд, 15
Москва, Правды, 26
Москва, Одоевского проезд, 2а
Москва, Нагатинская, 1 к1
Москва, Рябиновая, 44
Москва, Садовая-Кудринская, 11
Москва, Мира проспект, 176
Москва, Осенний бульвар, 23
Москва, Пресненская набережная, 10 блок В
Москва, Научный проезд, 10
Москва, Просторная, 7
Москва, Маршала Бирюзова, 1, 1 к1,2,3,8,11,14
Москва, Миклухо-Маклая, 18 к2
Москва, Нахимовский проспект, 20а
Москва, Мусы Джалиля, 6 к2
Москва, Новоданиловская набережная, 4а
Москва, Рябиновая, 41 к1
Москва, Перова Поля 2-й проезд, 9
Москва, Мытищинская 3-я, 16 к60
Москва, Саввинская набережная, 15
Москва, Садовая-Спасская, 20
Москва, Мира проспект, 69
Москва, Докукина, 16 ст1,3,4
Москва, Кожевнический 2-й переулок, 12 ст2
Москва, Загорьевская, 10 к4
Москва, Голубинская, 28
Москва, Кржижановского, 14 к3
Москва, Кржижановского, 29 к1,2,3,4
Москва, Дербеневская, 1 к1,2,3,4,5,6
Москва, Дербеневская, 20 ст2,7,8,11,12,15,16,18,19,23-27,29,30,33
Москва, Кронштадтский бульвар, 7а
Москва, Малая Филёвская, 13
Москва, Динамовская, 1а
Москва, Зубовский бульвар, 4
Москва, Ленинский проспект, 32а
Москва, Дубининская, 53 ст5
Москва, Лесная, 5
Москва, Летниковская, 10 ст2
Москва, Дмитрия Ульянова, 42
Москва, Колодезный переулок, 14
Москва, Дмитровское шоссе, 27
